name,slug,region
Austria,austria,EU
Belgium,belgium,EU
Bulgaria,bulgaria,EU
Croatia,croatia,EU
Cyprus,cyprus,EU
Czechia,czechia,EU
Denmark,denmark,EU
Estonia,estonia,EU
Finland,finland,EU
France,france,EU
Germany,germany,EU
Greece,greece,EU
Hungary,hungary,EU
Ireland,ireland,EU
Italy,italy,EU
Latvia,latvia,EU
Lithuania,lithuania,EU
Luxembourg,luxembourg,EU
Malta,malta,EU
Netherlands,netherlands,EU
Poland,poland,EU
Portugal,portugal,EU
Romania,romania,EU
Slovakia,slovakia,EU
Slovenia,slovenia,EU
Spain,spain,EU
Sweden,sweden,EU
